image_name,r_mean,g_mean,b_mean,h_mean,s_mean,v_mean,brown_ratio,yellow_ratio,dark_ratio,contrast,energy,homogeneity,correlation,maladie_id
100maize_train_healthy.JPG,147.4162,180.7249,89.0409,43.1754,136.2646,180.8557,0.0009,0.0663,0.0027,1327.3237,0.0096,0.0348,0.4865,0
101maize_train_healthy.JPG,134.8183,177.966,63.4074,41.8897,163.7763,178.0122,0.0,0.1033,0.0,29.5342,0.0449,0.3069,0.9418,0
102maize_train_healthy.JPG,112.7933,144.0528,59.2558,37.0462,131.2702,144.1691,0.0,0.0496,0.164,75.1153,0.142,0.445,0.9889,0
103maize_train_healthy.JPG,137.8034,172.0522,78.2476,43.4995,139.6781,172.3085,0.0,0.0515,0.0003,48.9748,0.0344,0.2865,0.9669,0
104maize_train_healthy.JPG,131.6172,169.8947,85.5472,42.3504,140.283,169.9604,0.0005,0.0071,0.0,1390.812,0.0099,0.0391,0.5667,0
105maize_train_healthy.JPG,105.0326,152.9812,43.2979,43.2794,182.6598,152.9812,0.0,0.0004,0.0,81.1831,0.0358,0.1946,0.6539,0
106maize_train_healthy.JPG,109.1771,145.9578,63.3096,41.0436,143.7287,146.095,0.0003,0.0003,0.0816,67.3152,0.0774,0.4323,0.9852,0
107maize_train_healthy.JPG,123.0826,161.7226,74.9901,42.5317,144.9558,161.8539,0.0002,0.0003,0.0,122.2287,0.0568,0.2225,0.9532,0
108maize_train_healthy.JPG,106.1913,144.6959,101.9131,59.9738,100.4341,144.7959,0.0,0.0001,0.0098,1407.361,0.0083,0.0337,0.5973,0
109maize_train_healthy.JPG,102.9992,145.474,105.4805,62.6192,84.2824,145.4872,0.0,0.0,0.0,55.0684,0.0331,0.2361,0.9524,0
110maize_train_healthy.JPG,84.0247,119.7482,79.8763,55.0422,97.2622,119.8242,0.0,0.0001,0.1165,109.8369,0.0898,0.3117,0.9755,0
111maize_train_healthy.JPG,95.9936,135.1849,91.0108,59.7869,101.7158,135.3367,0.0,0.0001,0.0012,80.9498,0.0227,0.2197,0.965,0
112maize_train_healthy.JPG,112.0454,175.1711,76.1049,50.2304,153.147,175.1761,0.0,0.0004,0.0,1423.4371,0.01,0.0336,0.2409,0
112maize_valid_healthy.JPG,101.2922,147.3653,51.9252,42.9074,153.6644,147.5281,0.0,0.0262,0.1291,66.9275,0.1042,0.432,0.9895,0
