image,culture_id,maladie_id,etat_id
streak virus374_.jpg,1,1,1
150maize_valid_streak virus.JPG,1,1,1
streak virus976_.jpg,1,1,1
90maize_train_healthy.JPG,1,0,0
leaf blight137_.jpg,1,2,1
AUG_552e1983.jpg,1,0,0
streak virus446_.jpg,1,1,1
leaf spot528_.jpg,1,3,1
534maize_train_streak virus.JPG,1,1,1
AUG_af873a46.jpg,1,0,0
leaf blight788_.jpg,1,2,1
AUG_89f87a66.jpg,1,0,0
streak virus97_.jpg,1,1,1
310maize_train_streak virus.JPG,1,1,1
leaf spot1186_.jpg,1,3,1
streak virus161_.jpg,1,1,1
leaf spot1005_.jpg,1,3,1
leaf blight659_.jpg,1,2,1
leaf blight933_.jpg,1,2,1
streak virus79_.jpg,1,1,1
leaf spot546_.jpg,1,3,1
148maize_train_healthy.JPG,1,0,0
2172maize_train_leaf blight.JPG,1,2,1
leaf blight955_.jpg,1,2,1
AUG_5672b27c.jpg,1,0,0
streak virus678_.jpg,1,1,1
2094maize_train_leaf blight.JPG,1,2,1
1930maize_train_leaf spot.JPG,1,3,1
AUG_36da4657.jpg,1,0,0
AUG_0ed069b5.jpg,1,0,0
leaf blight683_.jpg,1,2,1
700maize_valid_leaf blight.JPG,1,2,1
leaf spot67_.jpg,1,3,1
leaf blight378_.jpg,1,2,1
streak virus40_.jpg,1,1,1
leaf spot51_.jpg,1,3,1
streak virus837_.jpg,1,1,1
leaf spot188_.jpg,1,3,1
AUG_6aa05f02.jpg,1,0,0
streak virus803_.jpg,1,1,1
1020maize_train_leaf spot.JPG,1,3,1
961maize_train_leaf blight.JPG,1,2,1
leaf blight1001_.jpg,1,2,1
leaf spot991_.jpg,1,3,1
leaf spot220_.jpg,1,3,1
streak virus741_.jpg,1,1,1
926maize_valid_leaf blight.JPG,1,2,1
AUG_cfe3b357.jpg,1,0,0
leaf blight807_.jpg,1,2,1
leaf blight134_.jpg,1,2,1
leaf blight340_.jpg,1,2,1
streak virus850_.jpg,1,1,1
1maize_train_leaf blight.JPG,1,2,1
leaf spot562_.jpg,1,3,1
800maize_valid_leaf blight.JPG,1,2,1
2072maize_train_leaf blight.JPG,1,2,1
streak virus591_.jpg,1,1,1
leaf blight282_.jpg,1,2,1
leaf spot1080_.jpg,1,3,1
leaf blight669_.jpg,1,2,1
streak virus157_.jpg,1,1,1
163maize_train_healthy.JPG,1,0,0
streak virus715_.jpg,1,1,1
streak virus471_.jpg,1,1,1
380maize_valid_leaf blight.JPG,1,2,1
leaf blight415_.jpg,1,2,1
AUG_1b633022.jpg,1,0,0
streak virus515_.jpg,1,1,1
2278maize_train_leaf blight.JPG,1,2,1
587maize_valid_streak virus.JPG,1,1,1
513maize_train_streak virus.JPG,1,1,1
leaf blight924_.jpg,1,2,1
844maize_valid_streak virus.JPG,1,1,1
leaf spot906_.jpg,1,3,1
leaf blight785_.jpg,1,2,1
920maize_valid_leaf blight.JPG,1,2,1
leaf blight258_.jpg,1,2,1
1152maize_valid_leaf spot.JPG,1,3,1
leaf blight309_.jpg,1,2,1
streak virus1007_.jpg,1,1,1
313maize_train_streak virus.JPG,1,1,1
leaf blight754_.jpg,1,2,1
AUG_7a3af2ee.jpg,1,0,0
AUG_0f45c2ab.jpg,1,0,0
671maize_train_leaf blight.JPG,1,2,1
180maize_train_healthy.JPG,1,0,0
healthy52_.jpg,1,0,0
leaf blight957_.jpg,1,2,1
streak virus733_.jpg,1,1,1
168maize_train_healthy.JPG,1,0,0
206maize_valid_healthy.JPG,1,0,0
3maize_valid_leaf spot.JPG,1,3,1
leaf spot899_.jpg,1,3,1
908maize_valid_leaf blight.JPG,1,2,1
436maize_valid_leaf blight.JPG,1,2,1
AUG_bbe9a53a.jpg,1,0,0
418maize_valid_leaf blight.JPG,1,2,1
AUG_e93a385e.jpg,1,0,0
295maize_train_streak virus.JPG,1,1,1
704maize_valid_streak virus.JPG,1,1,1
AUG_f9f37d6d.jpg,1,0,0
AUG_bdf46e7d.jpg,1,0,0
21maize_valid_leaf blight.JPG,1,2,1
2179maize_train_leaf blight.JPG,1,2,1
1106maize_train_leaf spot.JPG,1,3,1
leaf blight212_.jpg,1,2,1
leaf spot102_.jpg,1,3,1
70maize_train_healthy.JPG,1,0,0
leaf blight550_.jpg,1,2,1
18maize_valid_streak virus.JPG,1,1,1
streak virus781_.jpg,1,1,1
AUG_9661ff43.jpg,1,0,0
leaf spot1176_.jpg,1,3,1
leaf spot514_.jpg,1,3,1
1023maize_train_leaf spot.JPG,1,3,1
